,distance,pixel_i,pixel_j,patch_loc
357,0.0021621818,0.0,8033.0,3001120200000.0
358,0.0,0.0,0.0,0.0
359,0.0,0.0,0.0,0.0
360,0.0059039276,0.0,907.0,3001120200000.0
361,0.0,3652.0,6749.0,3001120200000.0
362,0.0051560714,0.0,4782.0,3001120200000.0
363,0.0,7556.0,391.0,3001120200000.0
364,0.001260449,6429.0,0.0,3001120200000.0
365,0.005930961,5271.0,0.0,3001120200000.0
366,0.011097738,0.0,4151.0,3001120200000.0
367,0.009391447,8191.0,8173.0,3001120200000.0
368,0.01849208,0.0,7945.0,3001120200000.0
369,0.029424451,0.0,689.0,3001120200000.0
370,0.014046577,8061.0,8191.0,3001120200000.0
371,0.012533425,8191.0,7013.0,3001120200000.0
372,0.015973471,137.0,2.0,3001120200000.0
373,0.016592074,163.0,8191.0,3001120200000.0
374,8.319641e-05,6555.0,0.0,3001120200000.0
375,0.0,0.0,0.0,0.0
376,0.0,0.0,0.0,0.0
377,0.0048723435,8191.0,1415.0,3001120200000.0
378,0.014942297,8191.0,7909.0,3001120200000.0
379,0.0005617853,380.0,8191.0,3001120200000.0
380,0.017864102,12.0,0.0,3001120200000.0
381,0.013620102,0.0,14.0,3001120200000.0
382,0.0026530717,0.0,7240.0,3001120200000.0
383,0.01900616,8191.0,7909.0,3001120200000.0
384,0.024560723,8152.0,0.0,3001120200000.0
385,0.0011248472,8191.0,2892.0,3001120200000.0
386,0.014135256,0.0,432.0,3001120200000.0
387,0.021178352,7786.0,6.0,3001120200000.0
388,0.060564604,0.0,453.0,3001120200000.0
389,0.0155096995,8191.0,7909.0,3001120200000.0
390,0.0,0.0,0.0,0.0
391,0.017459456,0.0,7945.0,3001120200000.0
392,0.0,0.0,0.0,0.0
393,0.020072717,8191.0,7903.0,3001120200000.0
